Time,Block,Availability
1:00 AM,1,0
1:30 AM,2,0
2:00 AM,3,0
2:30 AM,4,0
3:00 AM,5,0
3:30 AM,6,0
4:00 AM,7,0
4:30 AM,8,0
5:00 AM,9,0
5:30 AM,10,0
6:00 AM,11,0
6:30 AM,12,0
7:00 AM,13,0
7:30 AM,14,1
8:00 AM,15,1
8:30 AM,16,1
9:00 AM,17,0
9:30 AM,18,0
10:00 AM,19,0
10:30 AM,20,1
11:00 AM,21,1
11:30 AM,22,1
12:00 PM,23,0
12:30 PM,24,0
1:00 PM,25,1
1:30 PM,26,1
2:00 PM,27,1
2:30 PM,28,0
3:00 PM,29,0
3:30 PM,30,0
4:00 PM,31,0
4:30 PM,32,1
5:00 PM,33,1
5:30 PM,34,1
6:00 PM,35,0
6:30 PM,36,0
7:00 PM,37,0
7:30 PM,38,0
8:00 PM,39,1
8:30 PM,40,1
9:00 PM,41,1
9:30 PM,42,1
10:00 PM,43,1
10:30 PM,44,0
11:00 PM,45,0
11:30 PM,46,0
12:00 AM,47,0
12:30 AM,48,0
